Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
162,5	69,2050181289	55,6881801092	37,239525371	24,0804658877
163	69,2050181289	55,6553408067	37,288609007	24,2428788024
163,5	69,159843843	55,6553408067	37,288609007	24,0804658877
164	69,2050181289	55,7539266153	37,288609007	24,1500763509
164,5	69,2502449211	55,7210420296	37,288609007	24,0106574553
165	69,2502449211	55,7539266153	37,288609007	23,824968562
165,5	69,2502449211	55,7868339135	37,288609007	23,9642408426
166	69,2502449211	55,885962947	37,2640642609	23,9178205524
166,5	69,2050181289	55,6881801092	37,3131596234	23,8017531186
167	69,2050181289	55,7868339135	37,3377161243	23,6390259428
167,5	69,2502449211	55,8197639719	37,3377161243	24,0572606946
168	69,2502449211	55,9189617599	37,3131596234	23,4994760481
168,5	69,2502449211	55,7868339135	37,3377161243	23,3833114091
169	69,2955243657	55,852716838	37,3377161243	23,5925772473
169,5	69,2955243657	55,885962947	37,3131596234	23,4762454805
170	69,2955243657	55,7539266153	37,3377161243	23,4762454805
170,5	69,2955243657	55,8197639719	37,3377161243	23,4994760481
171	69,2502449211	55,7539266153	37,3377161243	23,4530137447
171,5	69,2955243657	55,852716838	37,3377161243	23,5227054594
172	69,2502449211	55,852716838	37,3622785237	23,6390259428
172,5	69,2955243657	55,7539266153	37,3377161243	23,5459337264
173	69,2955243657	55,8197639719	37,3131596234	23,4065467209
173,5	69,2955243657	55,885962947	37,3622785237	23,4994760481
174	69,3862417993	55,9189617599	37,3377161243	23,7319104094
174,5	69,3408566094	55,8197639719	37,3377161243	23,7551289027
175	69,3408566094	56,0180961023	37,3377161243	23,5227054594
175,5	69,3408566094	55,8197639719	37,3377161243	23,9874496028
176	69,3408566094	55,8197639719	37,3622785237	23,4530137447
176,5	69,3408566094	55,9850282894	37,386846836	23,7086908787
177	69,3408566094	55,8197639719	37,386846836	23,6158021434
177,5	69,3408566094	55,852716838	37,3622785237	23,4065467209
178	69,3862417993	55,885962947	37,386846836	23,5227054594
178,5	69,3862417993	55,9189617599	37,3622785237	23,5691608609
179	69,3408566094	55,9189617599	37,4114210753	23,6854702985
179,5	69,3862417993	55,7868339135	37,386846836	23,6390259428
180	69,4316800831	55,9850282894	37,386846836	23,4297808288
